State,StateCode,PercentBlack
Alaska,AK,3.8
Alabama,AL,26.8
Arkansas,AR,15.7
American Samoa,AS,0
Arizona,AZ,5.1
California,CA,6.5
Colorado,CO,4.6
Connecticut,CT,12
District of Columbia,DC,46.4
Delaware,DE,23
Florida,FL,16.9
Georgia,GA,32.4
Guam,GU,0
Hawaii,HI,2.2
Iowa,IA,4
Idaho,ID,0.9
Illinois,IL,14.6
Indiana,IN,9.8
Kansas,KS,6.1
Kentucky,KY,8.4
Louisiana,LA,32.7
Maine,ME,1.6
Maryland,MD,30.9
Massachusetts,MA,8.9
Michigan,MI,14.1
Minnesota,MN,6.8
Missouri,MO,11.8
Northern Mariana Islands,MP,0
Mississippi,MS,37.8
Montana,MT,0.6
North Carolina,NC,22.2
North Dakota,ND,3.4
Nebraska,NE,5.1
New Hampshire,NH,1.7
New Jersey,NJ,15
New Mexico,NM,2.6
Nevada,NV,10.1
New York,NY,17.6
Ohio,OH,13
Oklahoma,OK,7.8
Oregon,OR,2.2
Pennsylvania,PA,12
Puerto Rico,PR,0
Rhode Island,RI,8.4
South Carolina,SC,27.1
South Dakota,SD,2.4
Tennessee,TN,17.1
Texas,TX,12.8
Utah,UT,1.4
Virginia,VA,19.9
Virgin Islands,VI,0
Vermont,VT,1.4
Washington,WA,4.3
Wisconsin,WI,6.7
West Virginia,WV,3.6
Wyoming,WY,1.3